pool,cluster,PI,freq_raw,freq_weighted,resonance,freq_norm,reson_norm,viral_share,penalty,n_raw_confession,n_review,n_creator
venta_MX,fatty_liver,99.1,1399,1184.8,651.57,98.5,100.0,0.002,1.0,1108,10,267
venta_MX,bloating,97.9,1777,1316.8,463.97,100.0,94.8,0.002,1.0,1171,8,551
venta_MX,belief_natural,92.4,909,733.0,420.84,91.9,93.3,0.002,1.0,670,10,212
venta_MX,toxin_detox,91.0,825,675.0,374.27,90.7,91.5,0.003,1.0,622,9,176
venta_MX,liver_enzymes,85.0,800,553.0,185.91,87.9,80.7,0.005,1.0,474,8,284
venta_MX,heavy_digestion,82.4,653,394.0,191.73,83.2,81.2,0.005,1.0,319,6,276
venta_MX,weight_stubborn,78.4,490,388.8,101.93,83.0,71.5,0.01,1.0,355,1,131
venta_MX,bile_flow,68.2,174,147.0,72.01,69.6,66.2,0.014,1.0,137,2,32
venta_MX,desire_flat_stomach,65.7,189,141.5,50.07,69.0,60.7,0.017,1.0,125,1,62
venta_MX,alcohol_liver,63.4,160,112.2,47.01,65.8,59.7,0.02,1.0,97,0,61
venta_MX,constipation,61.7,154,110.5,36.37,65.6,55.9,0.025,1.0,95,1,58
venta_MX,obj_does_it_work,58.4,154,87.2,29.1,62.4,52.5,0.034,1.0,53,13,85
venta_MX,obj_taste,56.6,113,91.5,19.96,63.0,46.9,0.049,1.0,53,33,22
venta_MX,gas_pain,53.1,76,58.2,20.74,56.8,47.5,0.041,1.0,54,0,17
venta_MX,belief_its_age,51.3,109,55.2,16.5,56.1,44.2,0.054,1.0,39,0,65
venta_MX,chronic_fatigue,46.7,86,40.0,11.7,51.7,39.2,0.056,1.0,26,0,56
venta_MX,belief_doctor_dismissed,41.4,28,28.0,7.59,46.9,33.2,0.126,1.0,26,2,0
venta_MX,obj_price,38.9,34,26.8,5.05,46.3,27.8,0.166,1.0,20,5,7
venta_MX,obj_scam,37.5,33,14.8,9.37,38.4,36.1,0.107,1.0,8,1,23
venta_MX,skin_dull,34.9,28,18.2,4.23,41.2,25.5,0.178,1.0,15,0,13
venta_MX,energy_crash_2pm,30.6,18,11.0,3.9,34.6,24.5,0.194,1.0,9,0,8
venta_MX,brain_fog,25.6,17,9.5,1.61,32.7,14.8,0.149,1.0,7,0,10
venta_MX,identity_ashamed,21.4,8,4.8,2.01,24.3,17.0,0.457,1.0,4,0,3
venta_MX,obj_tried_everything,14.4,4,3.2,0.45,20.1,5.8,0.54,1.0,3,0,1
venta_MX,identity_lost_self,5.8,1,1.0,0.0,9.6,0.0,0,1.0,1,0,0
intel_US,liver_enzymes,100.0,1052,836.2,272.08,100.0,100.0,0.004,1.0,667,106,253
intel_US,toxin_detox,96.6,977,760.8,189.49,98.6,93.6,0.005,1.0,669,36,223
intel_US,fatty_liver,91.2,680,463.8,166.06,91.3,91.2,0.006,1.0,382,13,275
intel_US,belief_natural,87.0,583,391.8,112.0,88.8,84.3,0.008,1.0,325,13,215
intel_US,bloating,79.9,384,253.8,71.52,82.3,76.4,0.014,1.0,212,10,127
intel_US,alcohol_liver,77.2,335,252.8,48.95,82.3,69.7,0.02,1.0,218,9,103
intel_US,heavy_digestion,71.6,300,161.5,38.43,75.6,65.5,0.025,1.0,110,10,166
intel_US,weight_stubborn,71.5,273,183.0,32.49,77.5,62.6,0.031,1.0,152,2,116
intel_US,obj_taste,69.7,136,122.5,41.72,71.6,66.9,0.024,1.0,44,74,18
intel_US,bile_flow,64.7,130,96.8,27.38,68.1,59.6,0.035,1.0,69,17,43
intel_US,constipation,61.2,122,89.0,18.33,66.9,52.8,0.047,1.0,79,1,36
intel_US,chronic_fatigue,60.5,131,71.5,21.95,63.6,55.9,0.043,1.0,48,5,74
intel_US,gas_pain,51.8,68,54.8,8.42,59.7,40.0,0.101,1.0,50,1,15
intel_US,desire_flat_stomach,46.8,49,23.2,12.16,47.4,45.9,0.071,1.0,19,0,17
intel_US,obj_does_it_work,46.1,37,28.5,8.28,50.3,39.7,0.116,1.0,19,7,10
intel_US,obj_price,46.1,31,28.0,8.49,50.0,40.1,0.115,1.0,21,6,4
intel_US,obj_tried_everything,44.5,58,56.5,2.22,60.2,20.9,0.335,1.0,56,0,2
intel_US,skin_dull,42.3,31,22.8,6.14,47.1,35.0,0.136,1.0,17,3,11
intel_US,energy_crash_2pm,40.5,35,20.5,5.28,45.6,32.8,0.18,1.0,14,2,18
intel_US,brain_fog,39.9,44,23.0,4.06,47.2,28.9,0.201,1.0,16,1,24
intel_US,obj_scam,34.2,11,10.2,4.87,36.0,31.5,0.172,1.0,6,4,1
intel_US,belief_doctor_dismissed,31.7,11,11.0,2.84,36.9,24.0,0.266,1.0,10,1,0
intel_US,identity_ashamed,9.8,2,2.0,0.0,16.3,0.0,0,1.0,2,0,0
intel_US,belief_self_blame,9.2,1,1.0,0.91,10.3,11.5,1.0,0.85,0,1,0
intel_US,belief_its_age,6.5,1,1.0,0.23,10.3,3.7,1.0,0.85,1,0,0
intel_US,identity_lost_self,6.5,1,1.0,0.23,10.3,3.7,1.0,0.85,1,0,0
intel_US,desire_feel_myself,6.2,1,1.0,0.0,10.3,0.0,0,1.0,1,0,0
